ANONYMIZED ID;TEST FEB;PRACTICAL EX FEB;PRACTICES FEB;FINAL FEB;TEST SEPT;PRACTICAL EX SEPT;PRACTICES SEPT;FINAL SEPT;YEAR
FX11g;7,00;4,00;0,50;5,00;NA;NA;NA;NA;2014
ycmR1;9,00;6,00;0,90;7,20;NA;NA;NA;NA;2017
KH2j6;7,00;3,67;0,70;5,00;NA;NA;NA;NA;2014
kJoj7;NA;NA;NA;NA;NA;NA;NA;NA;2011
kJoj7;NA;NA;NA;NA;NA;NA;NA;NA;2012
i9goe;NA;NA;NA;NA;NA;NA;NA;NA;2011
x6bh1;NA;NA;NA;NA;NA;NA;NA;NA;2012
OsLTt;NA;NA;NA;NA;NA;NA;NA;NA;2017
kOrAC;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
bIVoM;NA;NA;NA;NA;NA;NA;NA;NA;2012
4Ddgj;10,00;8,67;0,80;9,00;NA;NA;NA;NA;2014
Rio27;NA;NA;NA;NA;NA;NA;NA;NA;2011
j8yup;NA;NA;NA;NA;NA;NA;NA;NA;2012
j8yup;NA;NA;NA;NA;NA;NA;NA;NA;2014
ClMLy;NA;NA;NA;NA;NA;NA;NA;NA;2011
csHrX;NA;NA;NA;NA;NA;NA;NA;NA;2011
J0jk/;NA;NA;NA;NA;NA;NA;NA;NA;2016
m191g;8,00;6,50;0,70;7,00;NA;NA;NA;NA;2012
WfV+6;NA;NA;NA;NA;NA;NA;NA;NA;2013
gLzZO;NA;NA;NA;NA;NA;NA;NA;NA;2011
5jZ7W;NA;NA;NA;NA;NA;NA;NA;NA;2013
CjRl6;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
c/a2f;10,00;9,00;0,70;9,10;NA;NA;NA;NA;2012
88M8e;NA;NA;NA;NA;NA;NA;NA;NA;2011
PUG/S;NA;NA;NA;NA;NA;NA;NA;NA;2013
QWb1B;2,00;0,00;NA;0,60;NA;NA;NA;NA;2011
kMOjp;NA;NA;NA;NA;NA;NA;NA;NA;2014
vWQab;3,00;0,00;0,60;0,90;NA;NA;NA;NA;2011
ABCha;NA;NA;NA;NA;NA;NA;NA;NA;2015
GvhAv;NA;NA;NA;NA;NA;NA;NA;NA;2012
leFYD;NA;NA;NA;NA;NA;NA;NA;NA;2014
k30hs;NA;NA;NA;NA;NA;NA;NA;NA;2011
PGYKm;NA;NA;NA;NA;NA;NA;NA;NA;2016
ip1+M;NA;NA;NA;NA;NA;NA;NA;NA;2015
ip1+M;NA;NA;NA;NA;NA;NA;NA;NA;2016
ip1+M;NA;NA;NA;NA;NA;NA;NA;NA;2017
22mrE;NA;NA;NA;NA;NA;NA;NA;NA;2017
11ETI;NA;NA;NA;NA;NA;NA;NA;NA;2011
11ETI;NA;NA;NA;NA;NA;NA;NA;NA;2012
CACJ4;NA;NA;NA;NA;NA;NA;NA;NA;2013
CACJ4;NA;NA;NA;NA;NA;NA;NA;NA;2014
uxDl3;NA;NA;NA;NA;NA;NA;NA;NA;2012
ZfDCA;NA;NA;NA;NA;NA;NA;NA;NA;2015
Fymgn;NA;NA;NA;NA;NA;NA;NA;NA;2015
Mcmf8;NA;NA;NA;NA;NA;NA;NA;NA;2012
wN2wr;NA;NA;NA;NA;NA;NA;NA;NA;2018
S2yWf;NA;NA;NA;NA;NA;NA;NA;NA;2016
5sPwM;NA;NA;NA;NA;NA;NA;NA;NA;2013
w3br7;NA;NA;NA;NA;NA;NA;NA;NA;2017
xtBUm;7,00;8,00;0,65;7,55;NA;NA;NA;NA;2012
wbrHn;NA;NA;NA;NA;NA;NA;NA;NA;2012
AJybt;NA;NA;NA;NA;NA;NA;NA;NA;2014
5Ljca;NA;NA;NA;NA;NA;NA;NA;NA;2011
5Ljca;NA;NA;NA;NA;NA;NA;NA;NA;2017
sJfbN;NA;NA;NA;NA;NA;NA;NA;NA;2013
IkT/5;5,00;0,00;0,00;1,50;NA;NA;NA;NA;2016
